TitleVideo,Link,View,Date,Thumb
CUSTOM CÙNG ANH EM SBTC VÀ GIÁO ÁN JAX HỖ TRỢ CARRY TEAM CỰC CĂNG,https://www.youtube.com/watch?v=_HGF5i2jpX0,99K views,7 months ago,https://i.ytimg.com/vi/_HGF5i2jpX0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBfNZYkZaRu7X2SsEtiHaxuYCmC6w
"RUMBLE CỦA SOFM SẤY QUÁ ""KHÉT"".",https://www.youtube.com/watch?v=8hg7sYMuY3o,47K views,9 months ago,https://i.ytimg.com/vi/8hg7sYMuY3o/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBPGbepOoJzkj7G2ZUydA8DRL6OdA
TWISTED FATE TRONG TAY VỊ TƯỚNG SOFM.,https://www.youtube.com/watch?v=DabH89UsYjk,58K views,9 months ago,https://i.ytimg.com/vi/DabH89UsYjk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCbiG0YGNtIZh06QZV_VLmML0k8iA
"JAYCE TRÔN TRÔN, LÂU LÂU LEO RANK TỪ VỊ TRÍ EM DUY.",https://www.youtube.com/watch?v=ssgaV6kZR_4,46K views,9 months ago,https://i.ytimg.com/vi/ssgaV6kZR_4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCqQQQkOMsbHjh_gKDPTo2BwrT41A
SOFM LẦN ĐẦU TRẢI NGHIỆM GENSHIN IMPACT | BANNER 4.4,https://www.youtube.com/watch?v=lJVhfD9rNwc,441K views,10 months ago,https://i.ytimg.com/vi/lJVhfD9rNwc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBxZvENuBLhw08EtKfdWhnnygzYcg
BẤT NGỜ ĐỤNG ĐỒ BIN Ở BÊN KIA CHIẾN TUYẾN - ĐẠI CHIẾN TOÀN SAO TẠI SEVER APAC | SOFM DAILY STREAM,https://www.youtube.com/watch?v=zHeBiytbhNw,76K views,10 months ago,https://i.ytimg.com/vi/zHeBiytbhNw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCbHUzTq2vVXCSPWZBIyTaOiOiphw
(FULLGAME) SOFM VÁC KHA'ZIX VÀO RỪNG - TRẢI NGHIỆM BẢN ĐỒ MỚI CÙNG CÁC HÀO THỦ | SOFM DAILY STREAM,https://www.youtube.com/watch?v=3WURRGv1eIE,112K views,11 months ago,https://i.ytimg.com/vi/3WURRGv1eIE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAAe_3all4WT3uJVZTglF7DVplFKA
"TRISTANA SÁT THỦ TRONG TAY SOFM ĐÁNG SỢ RA SAO ? - ""TẦM NÀY KHÔNG HÈN GÌ CẢ"" | SOFM DAILY STREAM",https://www.youtube.com/watch?v=eDEkKj03ALk,40K views,11 months ago,https://i.ytimg.com/vi/eDEkKj03ALk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBk2b-rh2zwZh-t6UhOHNfEvSfO-Q
TRUNG BÌNH MỘT TRẬN CỦA SOFM TẠI CUSTOM THẦY GIÁO BA | SOFM DAILY STREAM,https://www.youtube.com/watch?v=e-mAzC0rxOk,75K views,11 months ago,https://i.ytimg.com/vi/e-mAzC0rxOk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAT4GL5PShsTBX5EUEngTSToTIABg
SOFM ÍT KHI ĐÁNH ZED VÀ CÁI KẾT ? - ZED98 PK 800 HIỆP TẠI CUSTOM THẦY BA | SOFM DAILY STREAM,https://www.youtube.com/watch?v=BiahAhfNl8U,48K views,11 months ago,https://i.ytimg.com/vi/BiahAhfNl8U/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCL81VT3WgrDEo0OUIpn8lVIfL1DQ
